t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.000170444444404118,0.0,0.0,0.0,0.0,0.0,-0.000170444444404118,0.0,0.0,0.0
0.01,0.00033944129108029626,0.0,-2.1305555550514497e-05,-0.00017037845328922018,-3.0935731438157672e-09,0.0,-0.00033944129108029626,2.1305555550514497e-05,0.00017037845328922018,3.0935731438157672e-09
0.015,0.000507009783719772,0.0,-6.355510507037652e-05,-0.0005078548976336854,-2.7473808077314653e-08,0.0,-0.000507009783719772,6.355510507037652e-05,0.0005078548976336854,2.7473808077314653e-08
0.02,0.0006731755160894256,0.0,-0.00012639410747992096,-0.0010088412987962763,-1.0841768112064594e-07,0.0,-0.0006731755160894256,0.00012639410747992096,0.0010088412987962763,1.0841768112064594e-07
0.025,0.0008379698483780608,0.0,-0.00020947675946180844,-0.0016694842213961349,-2.9700322740270596e-07,0.0,-0.0008379698483780608,0.00020947675946180844,0.0016694842213961349,2.9700322740270596e-07
0.03,0.0010014292729731587,0.0,-0.0003124674863644,-0.0024857064641328943,-6.587858980028721e-07,0.0,-0.0010014292729731587,0.0003124674863644,0.0024857064641328943,6.587858980028721e-07
0.035,0.001163594747913715,0.0,-0.00043504219381486586,-0.0034532474627600217,-1.2724577301678462e-06,0.0,-0.001163594747913715,0.00043504219381486586,0.0034532474627600217,1.2724577301678462e-06
0.04,0.0013245110151974262,0.0,-0.0005768892752282184,-0.004567701882689239,-2.228510647605633e-06,0.0,-0.0013245110151974262,0.0005768892752282184,0.004567701882689239,2.228510647605633e-06
0.045,0.0014842259195693536,0.0,-0.0007377103776781505,-0.005824555944136857,-3.6279225555101724e-06,0.0,-0.0014842259195693536,0.0007377103776781505,0.005824555944136857,3.6279225555101724e-06
0.05,0.001642789741525251,0.0,-0.0009172209348334917,-0.007219221140738773,-5.580882058645055e-06,0.0,-0.001642789741525251,0.0009172209348334917,0.007219221140738773,5.580882058645055e-06
0.055,0.0018002545561618497,0.0,-0.0011151504807472325,-0.008747065123161465,-8.205564750252368e-06,0.0,-0.0018002545561618497,0.0011151504807472325,0.008747065123161465,8.205564750252368e-06
0.06,0.0019566736273214508,0.0,-0.001331242762180426,-0.010403439619210354,-1.1626971211221736e-05,0.0,-0.0019566736273214508,0.001331242762180426,0.010403439619210354,1.1626971211221736e-05
0.065,0.0021121008443141086,0.0,-0.0015652556698845593,-0.012183705349216874,-1.5975834213971368e-05,0.0,-0.0021121008443141086,0.0015652556698845593,0.012183705349216874,1.5975834213971368e-05
0.07,0.0022665902064416786,0.0,-0.0018169610109382607,-0.014083253969029966,-2.1387600209727928e-05,0.0,-0.0022665902064416786,0.0018169610109382607,0.014083253969029966,2.1387600209727928e-05
0.075,0.0024201953586567362,0.0,-0.0020861441449583273,-0.01609752713256879,-2.800148803374041e-05,0.0,-0.0024201953586567362,0.0020861441449583273,0.01609752713256879,2.800148803374041e-05
0.08,0.0025729691800081503,0.0,-0.0023726035069230635,-0.018222032812115346,-3.595962591222407e-05,0.0,-0.0025729691800081503,0.0023726035069230635,0.018222032812115346,3.595962591222407e-05
0.085,0.00272496342507779,0.0,-0.002676150038608619,-0.02045235904834115,-4.540626630221517e-05,0.0,-0.00272496342507779,0.002676150038608619,0.02045235904834115,4.540626630221517e-05
